geocode_input,match,match_type,match_address,longitude,latitude,parcel_number,join_type,log_id,street_number,street_direction,street_name,street_suffix,street_unit,zip_code
"13903 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13903 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43555619799997,34.15761570700005,141561893,R,25611,13903,W,RIVERSIDE,DR,,91423
"13917 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13917 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43577978399998,34.15761570700005,141561893,R,25612,13917,W,RIVERSIDE,DR,,91423
"13925 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13925 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43590754799999,34.15761570700005,141561893,R,25613,13925,W,RIVERSIDE,DR,,91423
"13939 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13939 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.436131134,34.15761570700005,141561893,R,25614,13939,W,RIVERSIDE,DR,,91423
"13949 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13949 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43629083799999,34.15761570700005,141561893,R,25615,13949,W,RIVERSIDE,DR,,91423
"13963 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13963 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43651442399994,34.15761570700005,141561893,R,25616,13963,W,RIVERSIDE,DR,,91423
"14348 W RIVERSIDE DR, , CA, 91423",Match,Exact,"14348 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.44573646999999,34.15759955600004,141561633,L,25584,14348,W,RIVERSIDE,DR,1,91423
"14348 W RIVERSIDE DR, , CA, 91423",Match,Exact,"14348 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.44573646999999,34.15759955600004,141561633,L,29168,14348,W,RIVERSIDE,DR,10,91423
"14348 W RIVERSIDE DR, , CA, 91423",Match,Exact,"14348 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.44573646999999,34.15759955600004,141561633,L,29163,14348,W,RIVERSIDE,DR,11,91423
"14348 W RIVERSIDE DR, , CA, 91423",Match,Exact,"14348 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.44573646999999,34.15759955600004,141561633,L,25585,14348,W,RIVERSIDE,DR,2,91423
"14348 W RIVERSIDE DR, , CA, 91423",Match,Exact,"14348 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.44573646999999,34.15759955600004,141561633,L,29166,14348,W,RIVERSIDE,DR,3,91423
"14348 W RIVERSIDE DR, , CA, 91423",Match,Exact,"14348 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.44573646999999,34.15759955600004,141561633,L,29171,14348,W,RIVERSIDE,DR,4,91423
"14348 W RIVERSIDE DR, , CA, 91423",Match,Exact,"14348 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.44573646999999,34.15759955600004,141561633,L,29167,14348,W,RIVERSIDE,DR,5,91423
"14348 W RIVERSIDE DR, , CA, 91423",Match,Exact,"14348 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.44573646999999,34.15759955600004,141561633,L,29170,14348,W,RIVERSIDE,DR,6,91423
"14348 W RIVERSIDE DR, , CA, 91423",Match,Exact,"14348 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.44573646999999,34.15759955600004,141561633,L,29165,14348,W,RIVERSIDE,DR,7,91423
"14348 W RIVERSIDE DR, , CA, 91423",Match,Exact,"14348 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.44573646999999,34.15759955600004,141561633,L,29169,14348,W,RIVERSIDE,DR,8,91423
"14348 W RIVERSIDE DR, , CA, 91423",Match,Exact,"14348 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.44573646999999,34.15759955600004,141561633,L,29164,14348,W,RIVERSIDE,DR,9,91423
"13905 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13905 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43558813899995,34.15761570700005,141561893,R,29381,13905,W,RIVERSIDE ,DR,,91423
"13907 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13907 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43562007999998,34.15761570700005,141561893,R,29382,13907,W,RIVERSIDE ,DR,,91423
"13909 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13909 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43565202099995,34.15761570700005,141561893,R,29383,13909,W,RIVERSIDE ,DR,,91423
"13911 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13911 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43568396199998,34.15761570700005,141561893,R,29384,13911,W,RIVERSIDE ,DR,,91423
"13919 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13919 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43581172499995,34.15761570700005,141561893,R,29385,13919,W,RIVERSIDE ,DR,,91423
"13921 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13921 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43584366599998,34.15761570700005,141561893,R,29386,13921,W,RIVERSIDE ,DR,,91423
"13923 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13923 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43587560699996,34.15761570700005,141561893,R,29387,13923,W,RIVERSIDE ,DR,,91423
"13927 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13927 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43593948899996,34.15761570700005,141561893,R,29388,13927,W,RIVERSIDE ,DR,,91423
"13929 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13929 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43597142899995,34.15761570700005,141561893,R,29389,13929,W,RIVERSIDE ,DR,,91423
"13931 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13931 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43600336999998,34.15761570700005,141561893,R,29390,13931,W,RIVERSIDE ,DR,,91423
"13941 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13941 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43616307499997,34.15761570700005,141561893,R,29391,13941,W,RIVERSIDE ,DR,,91423
"13943 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13943 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43619501599994,34.15761570700005,141561893,R,29392,13943,W,RIVERSIDE ,DR,,91423
"13945 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13945 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43622695599998,34.15761570700005,141561893,R,29393,13945,W,RIVERSIDE ,DR,,91423
"13947 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13947 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43625889699996,34.15761570700005,141561893,R,29394,13947,W,RIVERSIDE ,DR,,91423
"13951 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13951 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43632277899997,34.15761570700005,141561893,R,29395,13951,W,RIVERSIDE ,DR,,91423
"13953 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13953 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43635471999994,34.15761570700005,141561893,R,29396,13953,W,RIVERSIDE ,DR,,91423
"13955 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13955 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43638666099997,34.15761570700005,141561893,R,29397,13955,W,RIVERSIDE ,DR,,91423
"13957 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13957 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43641860199995,34.15761570700005,141561893,R,29398,13957,W,RIVERSIDE ,DR,,91423
"13965 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13965 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43654636499997,34.15761570700005,141561893,R,29399,13965,W,RIVERSIDE ,DR,,91423
"13967 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13967 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43657830599994,34.15761570700005,141561893,R,29400,13967,W,RIVERSIDE ,DR,,91423
"13969 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13969 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43661024699998,34.15761570700005,141561893,R,29401,13969,W,RIVERSIDE ,DR,,91423
"13971 W RIVERSIDE DR, , CA, 91423",Match,Exact,"13971 RIVERSIDE DR, SHERMAN OAKS, CA, 91423",-118.43664218799995,34.15761570700005,141561893,R,29402,13971,W,RIVERSIDE ,DR,,91423
"12117 W ROCHESTER AVE, , CA, 90025",Match,Exact,"12117 ROCHESTER AVE, LOS ANGELES, CA, 90025",-118.46516896999998,34.04183429900007,141568138,R,26492,12117,W,ROCHESTER,AVE,,90025
"12119 W ROCHESTER AVE, , CA, 90025",Match,Exact,"12119 ROCHESTER AVE, LOS ANGELES, CA, 90025",-118.46518057699996,34.041819737000026,141568138,R,34555,12119,W,ROCHESTER,AVE,,90025
"12121 W ROCHESTER AVE, , CA, 90025",Match,Exact,"12121 ROCHESTER AVE, LOS ANGELES, CA, 90025",-118.46519218499998,34.041805175000036,141568138,R,34556,12121,W,ROCHESTER,AVE,,90025
"20506 W ROSCOE BLVD, , CA, 91306",Match,Exact,"20506 ROSCOE BLVD, CANOGA PARK, CA, 91306",-118.58005886699999,34.220057472000065,141533454,L,35258,20506,W,ROSCOE,BLVD,A,91306
"20506 W ROSCOE BLVD, , CA, 91306",Match,Exact,"20506 ROSCOE BLVD, CANOGA PARK, CA, 91306",-118.58005886699999,34.220057472000065,141533454,L,35257,20506,W,ROSCOE,BLVD,B,91306
"20506 W ROSCOE BLVD, , CA, 91306",Match,Exact,"20506 ROSCOE BLVD, CANOGA PARK, CA, 91306",-118.58005886699999,34.220057472000065,141533454,L,35256,20506,W,ROSCOE,BLVD,C,91306
"20506 W ROSCOE BLVD, , CA, 91306",Match,Exact,"20506 ROSCOE BLVD, CANOGA PARK, CA, 91306",-118.58005886699999,34.220057472000065,141533454,L,35255,20506,W,ROSCOE,BLVD,D,91306
"20516 W ROSCOE BLVD, , CA, 91306",Match,Exact,"20516 ROSCOE BLVD, CANOGA PARK, CA, 91306",-118.58025021399999,34.22005465800004,141533454,L,26558,20516,W,ROSCOE,BLVD,A,91306
"20516 W ROSCOE BLVD, , CA, 91306",Match,Exact,"20516 ROSCOE BLVD, CANOGA PARK, CA, 91306",-118.58025021399999,34.22005465800004,141533454,L,35262,20516,W,ROSCOE,BLVD,B,91306
"20516 W ROSCOE BLVD, , CA, 91306",Match,Exact,"20516 ROSCOE BLVD, CANOGA PARK, CA, 91306",-118.58025021399999,34.22005465800004,141533454,L,35261,20516,W,ROSCOE,BLVD,C,91306
"20516 W ROSCOE BLVD, , CA, 91306",Match,Exact,"20516 ROSCOE BLVD, CANOGA PARK, CA, 91306",-118.58025021399999,34.22005465800004,141533454,L,35259,20516,W,ROSCOE,BLVD,D,91306
"20516 W ROSCOE BLVD, , CA, 91306",Match,Exact,"20516 ROSCOE BLVD, CANOGA PARK, CA, 91306",-118.58025021399999,34.22005465800004,141533454,L,35260,20516,W,ROSCOE,BLVD,E,91306
"20807 W ROSCOE BLVD, , CA, 91306",Match,Exact,"20807 ROSCOE BLVD, CANOGA PARK, CA, 91306",-118.58654574199994,34.219969304000074,142709281,R,26583,20807,W,ROSCOE,BLVD,1,91306
"20807 W ROSCOE BLVD, , CA, 91306",Match,Exact,"20807 ROSCOE BLVD, CANOGA PARK, CA, 91306",-118.58654574199994,34.219969304000074,142709281,R,35678,20807,W,ROSCOE,BLVD,10,91306
"20807 W ROSCOE BLVD, , CA, 91306",Match,Exact,"20807 ROSCOE BLVD, CANOGA PARK, CA, 91306",-118.58654574199994,34.219969304000074,142709281,R,35679,20807,W,ROSCOE,BLVD,11,91306
"20807 W ROSCOE BLVD, , CA, 91306",Match,Exact,"20807 ROSCOE BLVD, CANOGA PARK, CA, 91306",-118.58654574199994,34.219969304000074,142709281,R,35680,20807,W,ROSCOE,BLVD,12,91306
"20807 W ROSCOE BLVD, , CA, 91306",Match,Exact,"20807 ROSCOE BLVD, CANOGA PARK, CA, 91306",-118.58654574199994,34.219969304000074,142709281,R,35681,20807,W,ROSCOE,BLVD,13,91306
"20807 W ROSCOE BLVD, , CA, 91306",Match,Exact,"20807 ROSCOE BLVD, CANOGA PARK, CA, 91306",-118.58654574199994,34.219969304000074,142709281,R,35682,20807,W,ROSCOE,BLVD,14,91306
"20807 W ROSCOE BLVD, , CA, 91306",Match,Exact,"20807 ROSCOE BLVD, CANOGA PARK, CA, 91306",-118.58654574199994,34.219969304000074,142709281,R,35683,20807,W,ROSCOE,BLVD,15,91306
"20807 W ROSCOE BLVD, , CA, 91306",Match,Exact,"20807 ROSCOE BLVD, CANOGA PARK, CA, 91306",-118.58654574199994,34.219969304000074,142709281,R,35684,20807,W,ROSCOE,BLVD,16,91306
"20807 W ROSCOE BLVD, , CA, 91306",Match,Exact,"20807 ROSCOE BLVD, CANOGA PARK, CA, 91306",-118.58654574199994,34.219969304000074,142709281,R,35670,20807,W,ROSCOE,BLVD,2,91306
"20807 W ROSCOE BLVD, , CA, 91306",Match,Exact,"20807 ROSCOE BLVD, CANOGA PARK, CA, 91306",-118.58654574199994,34.219969304000074,142709281,R,35671,20807,W,ROSCOE,BLVD,3,91306
"20807 W ROSCOE BLVD, , CA, 91306",Match,Exact,"20807 ROSCOE BLVD, CANOGA PARK, CA, 91306",-118.58654574199994,34.219969304000074,142709281,R,35672,20807,W,ROSCOE,BLVD,4,91306
"20807 W ROSCOE BLVD, , CA, 91306",Match,Exact,"20807 ROSCOE BLVD, CANOGA PARK, CA, 91306",-118.58654574199994,34.219969304000074,142709281,R,35673,20807,W,ROSCOE,BLVD,5,91306
"20807 W ROSCOE BLVD, , CA, 91306",Match,Exact,"20807 ROSCOE BLVD, CANOGA PARK, CA, 91306",-118.58654574199994,34.219969304000074,142709281,R,35674,20807,W,ROSCOE,BLVD,6,91306
"20807 W ROSCOE BLVD, , CA, 91306",Match,Exact,"20807 ROSCOE BLVD, CANOGA PARK, CA, 91306",-118.58654574199994,34.219969304000074,142709281,R,35675,20807,W,ROSCOE,BLVD,7,91306
"20807 W ROSCOE BLVD, , CA, 91306",Match,Exact,"20807 ROSCOE BLVD, CANOGA PARK, CA, 91306",-118.58654574199994,34.219969304000074,142709281,R,35676,20807,W,ROSCOE,BLVD,8,91306
"20807 W ROSCOE BLVD, , CA, 91306",Match,Exact,"20807 ROSCOE BLVD, CANOGA PARK, CA, 91306",-118.58654574199994,34.219969304000074,142709281,R,35677,20807,W,ROSCOE,BLVD,9,91306
"21900 W ROSCOE BLVD, , CA, 91304",Match,Exact,"21900 ROSCOE BLVD, BOX CANYON, CA, 91304",-118.60438552499994,34.21967980900007,141533126,L,26555,21900,W,ROSCOE,BLVD,1,91304
"21900 W ROSCOE BLVD, , CA, 91304",Match,Exact,"21900 ROSCOE BLVD, BOX CANYON, CA, 91304",-118.60438552499994,34.21967980900007,141533126,L,35213,21900,W,ROSCOE,BLVD,10,91304
"21900 W ROSCOE BLVD, , CA, 91304",Match,Exact,"21900 ROSCOE BLVD, BOX CANYON, CA, 91304",-118.60438552499994,34.21967980900007,141533126,L,35214,21900,W,ROSCOE,BLVD,11,91304
"21900 W ROSCOE BLVD, , CA, 91304",Match,Exact,"21900 ROSCOE BLVD, BOX CANYON, CA, 91304",-118.60438552499994,34.21967980900007,141533126,L,35215,21900,W,ROSCOE,BLVD,12,91304
"21900 W ROSCOE BLVD, , CA, 91304",Match,Exact,"21900 ROSCOE BLVD, BOX CANYON, CA, 91304",-118.60438552499994,34.21967980900007,141533126,L,35216,21900,W,ROSCOE,BLVD,14,91304
"21900 W ROSCOE BLVD, , CA, 91304",Match,Exact,"21900 ROSCOE BLVD, BOX CANYON, CA, 91304",-118.60438552499994,34.21967980900007,141533126,L,35217,21900,W,ROSCOE,BLVD,15,91304
"21900 W ROSCOE BLVD, , CA, 91304",Match,Exact,"21900 ROSCOE BLVD, BOX CANYON, CA, 91304",-118.60438552499994,34.21967980900007,141533126,L,35218,21900,W,ROSCOE,BLVD,16,91304
"21900 W ROSCOE BLVD, , CA, 91304",Match,Exact,"21900 ROSCOE BLVD, BOX CANYON, CA, 91304",-118.60438552499994,34.21967980900007,141533126,L,35219,21900,W,ROSCOE,BLVD,17,91304
"21900 W ROSCOE BLVD, , CA, 91304",Match,Exact,"21900 ROSCOE BLVD, BOX CANYON, CA, 91304",-118.60438552499994,34.21967980900007,141533126,L,35220,21900,W,ROSCOE,BLVD,18,91304
"21900 W ROSCOE BLVD, , CA, 91304",Match,Exact,"21900 ROSCOE BLVD, BOX CANYON, CA, 91304",-118.60438552499994,34.21967980900007,141533126,L,35221,21900,W,ROSCOE,BLVD,19,91304
"21900 W ROSCOE BLVD, , CA, 91304",Match,Exact,"21900 ROSCOE BLVD, BOX CANYON, CA, 91304",-118.60438552499994,34.21967980900007,141533126,L,35226,21900,W,ROSCOE,BLVD,2,91304
"21900 W ROSCOE BLVD, , CA, 91304",Match,Exact,"21900 ROSCOE BLVD, BOX CANYON, CA, 91304",-118.60438552499994,34.21967980900007,141533126,L,35222,21900,W,ROSCOE,BLVD,20,91304
"21900 W ROSCOE BLVD, , CA, 91304",Match,Exact,"21900 ROSCOE BLVD, BOX CANYON, CA, 91304",-118.60438552499994,34.21967980900007,141533126,L,35223,21900,W,ROSCOE,BLVD,21,91304
"21900 W ROSCOE BLVD, , CA, 91304",Match,Exact,"21900 ROSCOE BLVD, BOX CANYON, CA, 91304",-118.60438552499994,34.21967980900007,141533126,L,35224,21900,W,ROSCOE,BLVD,22,91304
"21900 W ROSCOE BLVD, , CA, 91304",Match,Exact,"21900 ROSCOE BLVD, BOX CANYON, CA, 91304",-118.60438552499994,34.21967980900007,141533126,L,35225,21900,W,ROSCOE,BLVD,23,91304
"21900 W ROSCOE BLVD, , CA, 91304",Match,Exact,"21900 ROSCOE BLVD, BOX CANYON, CA, 91304",-118.60438552499994,34.21967980900007,141533126,L,35229,21900,W,ROSCOE,BLVD,24,91304
"21900 W ROSCOE BLVD, , CA, 91304",Match,Exact,"21900 ROSCOE BLVD, BOX CANYON, CA, 91304",-118.60438552499994,34.21967980900007,141533126,L,35209,21900,W,ROSCOE,BLVD,25,91304
"21900 W ROSCOE BLVD, , CA, 91304",Match,Exact,"21900 ROSCOE BLVD, BOX CANYON, CA, 91304",-118.60438552499994,34.21967980900007,141533126,L,35227,21900,W,ROSCOE,BLVD,3,91304
"21900 W ROSCOE BLVD, , CA, 91304",Match,Exact,"21900 ROSCOE BLVD, BOX CANYON, CA, 91304",-118.60438552499994,34.21967980900007,141533126,L,35228,21900,W,ROSCOE,BLVD,4,91304
"21900 W ROSCOE BLVD, , CA, 91304",Match,Exact,"21900 ROSCOE BLVD, BOX CANYON, CA, 91304",-118.60438552499994,34.21967980900007,141533126,L,35208,21900,W,ROSCOE,BLVD,5,91304
"21900 W ROSCOE BLVD, , CA, 91304",Match,Exact,"21900 ROSCOE BLVD, BOX CANYON, CA, 91304",-118.60438552499994,34.21967980900007,141533126,L,35230,21900,W,ROSCOE,BLVD,6,91304
"21900 W ROSCOE BLVD, , CA, 91304",Match,Exact,"21900 ROSCOE BLVD, BOX CANYON, CA, 91304",-118.60438552499994,34.21967980900007,141533126,L,35210,21900,W,ROSCOE,BLVD,7,91304
"21900 W ROSCOE BLVD, , CA, 91304",Match,Exact,"21900 ROSCOE BLVD, BOX CANYON, CA, 91304",-118.60438552499994,34.21967980900007,141533126,L,35211,21900,W,ROSCOE,BLVD,8,91304
"21900 W ROSCOE BLVD, , CA, 91304",Match,Exact,"21900 ROSCOE BLVD, BOX CANYON, CA, 91304",-118.60438552499994,34.21967980900007,141533126,L,35212,21900,W,ROSCOE,BLVD,9,91304
"59 E ROSE AVE, , CA, 90291",Match,Exact,"59 ROSE AVE, PLAYA DEL REY, CA, 90291",-118.47926466899997,33.99531420300008,141575757,L,26401,59,E,ROSE,AVE,NO 1,90291
"59 E ROSE AVE, , CA, 90291",Match,Exact,"59 ROSE AVE, PLAYA DEL REY, CA, 90291",-118.47926466899997,33.99531420300008,141575757,L,33892,59,E,ROSE,AVE,NO 2,90291
"59 E ROSE AVE, , CA, 90291",Match,Exact,"59 ROSE AVE, PLAYA DEL REY, CA, 90291",-118.47926466899997,33.99531420300008,141575757,L,33891,59,E,ROSE,AVE,NO 3,90291
"59 E ROSE AVE, , CA, 90291",Match,Exact,"59 ROSE AVE, PLAYA DEL REY, CA, 90291",-118.47926466899997,33.99531420300008,141575757,L,33890,59,E,ROSE,AVE,NO 4,90291
"1560 S SALTAIR AVE, , CA, 90025",Match,Exact,"1560 S SALTAIR AVE, LOS ANGELES, CA, 90025",-118.46124556999996,34.03988108100003,141568388,L,26491,1560,S,SALTAIR,AVE,101,90025
"1560 S SALTAIR AVE, , CA, 90025",Match,Exact,"1560 S SALTAIR AVE, LOS ANGELES, CA, 90025",-118.46124556999996,34.03988108100003,141568388,L,34553,1560,S,SALTAIR,AVE,102,90025
"1560 S SALTAIR AVE, , CA, 90025",Match,Exact,"1560 S SALTAIR AVE, LOS ANGELES, CA, 90025",-118.46124556999996,34.03988108100003,141568388,L,34554,1560,S,SALTAIR,AVE,103,90025
"1560 S SALTAIR AVE, , CA, 90025",Match,Exact,"1560 S SALTAIR AVE, LOS ANGELES, CA, 90025",-118.46124556999996,34.03988108100003,141568388,L,34533,1560,S,SALTAIR,AVE,104,90025
"1560 S SALTAIR AVE, , CA, 90025",Match,Exact,"1560 S SALTAIR AVE, LOS ANGELES, CA, 90025",-118.46124556999996,34.03988108100003,141568388,L,34534,1560,S,SALTAIR,AVE,105,90025
"1560 S SALTAIR AVE, , CA, 90025",Match,Exact,"1560 S SALTAIR AVE, LOS ANGELES, CA, 90025",-118.46124556999996,34.03988108100003,141568388,L,34535,1560,S,SALTAIR,AVE,106,90025
"1560 S SALTAIR AVE, , CA, 90025",Match,Exact,"1560 S SALTAIR AVE, LOS ANGELES, CA, 90025",-118.46124556999996,34.03988108100003,141568388,L,34536,1560,S,SALTAIR,AVE,107,90025
"1560 S SALTAIR AVE, , CA, 90025",Match,Exact,"1560 S SALTAIR AVE, LOS ANGELES, CA, 90025",-118.46124556999996,34.03988108100003,141568388,L,34537,1560,S,SALTAIR,AVE,108,90025
"1560 S SALTAIR AVE, , CA, 90025",Match,Exact,"1560 S SALTAIR AVE, LOS ANGELES, CA, 90025",-118.46124556999996,34.03988108100003,141568388,L,34538,1560,S,SALTAIR,AVE,109,90025
"1560 S SALTAIR AVE, , CA, 90025",Match,Exact,"1560 S SALTAIR AVE, LOS ANGELES, CA, 90025",-118.46124556999996,34.03988108100003,141568388,L,34539,1560,S,SALTAIR,AVE,110,90025
"1560 S SALTAIR AVE, , CA, 90025",Match,Exact,"1560 S SALTAIR AVE, LOS ANGELES, CA, 90025",-118.46124556999996,34.03988108100003,141568388,L,34540,1560,S,SALTAIR,AVE,111,90025
"1560 S SALTAIR AVE, , CA, 90025",Match,Exact,"1560 S SALTAIR AVE, LOS ANGELES, CA, 90025",-118.46124556999996,34.03988108100003,141568388,L,34541,1560,S,SALTAIR,AVE,112,90025
"1560 S SALTAIR AVE, , CA, 90025",Match,Exact,"1560 S SALTAIR AVE, LOS ANGELES, CA, 90025",-118.46124556999996,34.03988108100003,141568388,L,34542,1560,S,SALTAIR,AVE,201,90025
"1560 S SALTAIR AVE, , CA, 90025",Match,Exact,"1560 S SALTAIR AVE, LOS ANGELES, CA, 90025",-118.46124556999996,34.03988108100003,141568388,L,34543,1560,S,SALTAIR,AVE,202,90025
"1560 S SALTAIR AVE, , CA, 90025",Match,Exact,"1560 S SALTAIR AVE, LOS ANGELES, CA, 90025",-118.46124556999996,34.03988108100003,141568388,L,34544,1560,S,SALTAIR,AVE,203,90025
"1560 S SALTAIR AVE, , CA, 90025",Match,Exact,"1560 S SALTAIR AVE, LOS ANGELES, CA, 90025",-118.46124556999996,34.03988108100003,141568388,L,34545,1560,S,SALTAIR,AVE,204,90025
"1560 S SALTAIR AVE, , CA, 90025",Match,Exact,"1560 S SALTAIR AVE, LOS ANGELES, CA, 90025",-118.46124556999996,34.03988108100003,141568388,L,34546,1560,S,SALTAIR,AVE,205,90025
"1560 S SALTAIR AVE, , CA, 90025",Match,Exact,"1560 S SALTAIR AVE, LOS ANGELES, CA, 90025",-118.46124556999996,34.03988108100003,141568388,L,34547,1560,S,SALTAIR,AVE,206,90025
"1560 S SALTAIR AVE, , CA, 90025",Match,Exact,"1560 S SALTAIR AVE, LOS ANGELES, CA, 90025",-118.46124556999996,34.03988108100003,141568388,L,34548,1560,S,SALTAIR,AVE,207,90025
"1560 S SALTAIR AVE, , CA, 90025",Match,Exact,"1560 S SALTAIR AVE, LOS ANGELES, CA, 90025",-118.46124556999996,34.03988108100003,141568388,L,34549,1560,S,SALTAIR,AVE,208,90025
"1560 S SALTAIR AVE, , CA, 90025",Match,Exact,"1560 S SALTAIR AVE, LOS ANGELES, CA, 90025",-118.46124556999996,34.03988108100003,141568388,L,34550,1560,S,SALTAIR,AVE,209,90025
